"","bin_val","Start","End","bin","Var2","Freq","Var1.1","Var2.1","Freq.1"
"245",59,2012-07-12,2012-07-27,"ndvi.59","zebra",96,"59","1",2
"246",59,2012-07-12,2012-07-27,"ndvi.59","wildebeest",38,"59","0",701
"247",60,2012-07-28,2012-08-12,"ndvi.60","gazelleThomsons",732,"60","1",0
"248",60,2012-07-28,2012-08-12,"ndvi.60","buffalo",63,"60","0",921
"249",60,2012-07-28,2012-08-12,"ndvi.60","wildebeest",25,"60","0",921
"250",60,2012-07-28,2012-08-12,"ndvi.60","hartebeest",63,"60","0",921
"251",60,2012-07-28,2012-08-12,"ndvi.60","zebra",18,"60","1",0
"252",60,2012-07-28,2012-08-12,"ndvi.60","topi",20,"60","1",0
"253",61,2012-08-13,2012-08-28,"ndvi.61","buffalo",54,"61","0",888
"254",61,2012-08-13,2012-08-28,"ndvi.61","zebra",13,"61","1",0
"255",61,2012-08-13,2012-08-28,"ndvi.61","wildebeest",42,"61","0",888
"256",61,2012-08-13,2012-08-28,"ndvi.61","gazelleThomsons",667,"61","1",0
"257",61,2012-08-13,2012-08-28,"ndvi.61","topi",25,"61","1",0
"258",61,2012-08-13,2012-08-28,"ndvi.61","hartebeest",87,"61","0",888
"259",62,2012-08-29,2012-09-13,"ndvi.62","wildebeest",17,"62","0",447
"260",62,2012-08-29,2012-09-13,"ndvi.62","buffalo",88,"62","0",447
"261",62,2012-08-29,2012-09-13,"ndvi.62","zebra",65,"62","1",5
"262",62,2012-08-29,2012-09-13,"ndvi.62","hartebeest",59,"62","0",447
"263",62,2012-08-29,2012-09-13,"ndvi.62","topi",30,"62","1",5
"264",62,2012-08-29,2012-09-13,"ndvi.62","gazelleThomsons",193,"62","1",5
"265",63,2012-09-14,2012-09-29,"ndvi.63","wildebeest",23,"63","0",502
"266",63,2012-09-14,2012-09-29,"ndvi.63","hartebeest",93,"63","0",502
"267",63,2012-09-14,2012-09-29,"ndvi.63","buffalo",70,"63","0",502
"268",63,2012-09-14,2012-09-29,"ndvi.63","gazelleThomsons",180,"63","1",2
"269",63,2012-09-14,2012-09-29,"ndvi.63","zebra",111,"63","1",2
"270",63,2012-09-14,2012-09-29,"ndvi.63","topi",27,"63","1",2
"271",64,2012-09-30,2012-10-15,"ndvi.64","wildebeest",26,"64","0",907
"272",64,2012-09-30,2012-10-15,"ndvi.64","zebra",347,"64","1",16
"273",64,2012-09-30,2012-10-15,"ndvi.64","hartebeest",61,"64","0",907
"274",64,2012-09-30,2012-10-15,"ndvi.64","topi",14,"64","1",16
"275",64,2012-09-30,2012-10-15,"ndvi.64","gazelleThomsons",409,"64","1",16
"276",64,2012-09-30,2012-10-15,"ndvi.64","buffalo",66,"64","0",907
"277",65,2012-10-16,2012-10-31,"ndvi.65","wildebeest",36,"65","0",1095
"278",65,2012-10-16,2012-10-31,"ndvi.65","hartebeest",68,"65","0",1095
"279",65,2012-10-16,2012-10-31,"ndvi.65","gazelleThomsons",572,"65","1",16
"280",65,2012-10-16,2012-10-31,"ndvi.65","zebra",334,"65","1",16
"281",65,2012-10-16,2012-10-31,"ndvi.65","topi",20,"65","1",16
"282",65,2012-10-16,2012-10-31,"ndvi.65","buffalo",81,"65","0",1095
"283",66,2012-11-01,2012-11-16,"ndvi.66","wildebeest",542,"66","0",1636
"284",66,2012-11-01,2012-11-16,"ndvi.66","zebra",768,"66","1",46
"285",66,2012-11-01,2012-11-16,"ndvi.66","hartebeest",47,"66","0",1636
"286",66,2012-11-01,2012-11-16,"ndvi.66","topi",20,"66","1",46
"287",66,2012-11-01,2012-11-16,"ndvi.66","gazelleThomsons",205,"66","1",46
"288",66,2012-11-01,2012-11-16,"ndvi.66","buffalo",100,"66","0",1636
"289",67,2012-11-17,2012-12-02,"ndvi.67","wildebeest",762,"67","0",1896
"290",67,2012-11-17,2012-12-02,"ndvi.67","hartebeest",96,"67","0",1896
"291",67,2012-11-17,2012-12-02,"ndvi.67","zebra",835,"67","1",59
"292",67,2012-11-17,2012-12-02,"ndvi.67","gazelleThomsons",131,"67","1",59
"293",67,2012-11-17,2012-12-02,"ndvi.67","topi",41,"67","1",59
"294",67,2012-11-17,2012-12-02,"ndvi.67","buffalo",90,"67","0",1896
"295",68,2012-12-03,2012-12-18,"ndvi.68","wildebeest",196,"68","0",936
"296",68,2012-12-03,2012-12-18,"ndvi.68","zebra",465,"68","1",22
"297",68,2012-12-03,2012-12-18,"ndvi.68","hartebeest",76,"68","0",936
"298",68,2012-12-03,2012-12-18,"ndvi.68","topi",19,"68","1",22
"299",68,2012-12-03,2012-12-18,"ndvi.68","gazelleThomsons",123,"68","1",22
"300",68,2012-12-03,2012-12-18,"ndvi.68","buffalo",79,"68","0",936
"301",69,2012-12-19,2012-12-31,"ndvi.69","zebra",174,"69","1",7
"302",69,2012-12-19,2012-12-31,"ndvi.69","hartebeest",29,"69","0",358
"303",69,2012-12-19,2012-12-31,"ndvi.69","gazelleThomsons",11,"69","1",7
"304",69,2012-12-19,2012-12-31,"ndvi.69","wildebeest",82,"69","0",358
"305",69,2012-12-19,2012-12-31,"ndvi.69","topi",9,"69","1",7
"306",69,2012-12-19,2012-12-31,"ndvi.69","buffalo",60,"69","0",358
"307",70,2013-01-01,2013-01-16,"ndvi.70","topi",12,"70","1",0
"308",70,2013-01-01,2013-01-16,"ndvi.70","hartebeest",50,"70","0",232
"309",70,2013-01-01,2013-01-16,"ndvi.70","wildebeest",16,"70","0",232
"310",70,2013-01-01,2013-01-16,"ndvi.70","zebra",78,"70","1",0
"311",70,2013-01-01,2013-01-16,"ndvi.70","gazelleThomsons",3,"70","1",0
"312",70,2013-01-01,2013-01-16,"ndvi.70","buffalo",73,"70","0",232
"313",71,2013-01-17,2013-02-01,"ndvi.71","hartebeest",40,"71","0",129
"314",71,2013-01-17,2013-02-01,"ndvi.71","topi",5,"71","1",0
"315",71,2013-01-17,2013-02-01,"ndvi.71","buffalo",57,"71","0",129
"316",71,2013-01-17,2013-02-01,"ndvi.71","gazelleThomsons",9,"71","1",0
"317",71,2013-01-17,2013-02-01,"ndvi.71","wildebeest",9,"71","0",129
"318",71,2013-01-17,2013-02-01,"ndvi.71","zebra",9,"71","1",0
"319",72,2013-02-02,2013-02-17,"ndvi.72","hartebeest",54,"72","0",323
"320",72,2013-02-02,2013-02-17,"ndvi.72","buffalo",71,"72","0",323
"321",72,2013-02-02,2013-02-17,"ndvi.72","gazelleThomsons",12,"72","1",2
"322",72,2013-02-02,2013-02-17,"ndvi.72","wildebeest",28,"72","0",323
"323",72,2013-02-02,2013-02-17,"ndvi.72","topi",41,"72","1",2
"324",72,2013-02-02,2013-02-17,"ndvi.72","zebra",119,"72","1",2
"325",73,2013-02-18,2013-03-05,"ndvi.73","buffalo",70,"73","0",1050
"326",73,2013-02-18,2013-03-05,"ndvi.73","hartebeest",71,"73","0",1050
"327",73,2013-02-18,2013-03-05,"ndvi.73","gazelleThomsons",65,"73","1",41
"328",73,2013-02-18,2013-03-05,"ndvi.73","wildebeest",526,"73","0",1050
"329",73,2013-02-18,2013-03-05,"ndvi.73","zebra",329,"73","1",41
"330",73,2013-02-18,2013-03-05,"ndvi.73","topi",30,"73","1",41
